|    Run | Delivered LS | Delivered(/μb) |          Selected LS | Recorded(/μb) |
|        |              |                 |   [85-104] [113-156] |                |
|        |              |                 |  [159-162] [165-170] |                |
|        |              |                 |  [173-192] [201-204] |                |
|        |              |                 |  [207-224] [247-270] |                |
|        |              |                 |  [293-296] [307-308] |                |
| 143962 |          395 |       51832.335 |        [1-8] [13-14] |      39603.934 |
|        |              |                 |      [19-22] [25-26] |                |
|        |              |                 |      [29-56] [59-60] |                |
|        |              |                 |   [63-128] [131-132] |                |
|        |              |                 |  [137-138] [141-148] |                |
|        |              |                 |  [157-160] [167-168] |                |
|        |              |                 |  [171-228] [231-234] |                |
|        |              |                 |  [239-240] [247-250] |                |
|        |              |                 |  [253-266] [269-270] |                |
|        |              |                 |  [275-278] [283-308] |                |
|        |              |                 |  [311-316] [319-332] |                |
|        |              |                 |  [335-336] [341-342] |                |
|        |              |                 |            [349-358] |                |
| 143977 |          N/A |             N/A |                  N/A |            N/A |
| 144001 |           54 |         114.271 |               [1-44] |        114.085 |
| 144010 |           86 |       21054.732 |        [1-8] [10-66] |      15180.345 |
| 144011 |          551 |      111766.721 |       [1-10] [17-18] |      66067.116 |
|        |              |                 |      [22-22] [24-27] |                |
|        |              |                 |      [54-63] [68-68] |                |
|        |              |                 |      [72-73] [75-92] |                |
|        |              |                 |   [99-100] [102-124] |                |
|        |              |                 |  [127-176] [181-181] |                |
|        |              |                 |  [192-194] [201-241] |                |
|        |              |                 |  [250-252] [256-334] |                |
|        |              |                 |  [336-339] [348-357] |                |
|        |              |                 |  [360-366] [370-372] |                |
|        |              |                 |  [376-379] [384-391] |                |
|        |              |                 |  [397-397] [408-413] |                |
|        |              |                 |  [426-434] [450-450] |                |
| 144066 |          N/A |             N/A |                  N/A |            N/A |
| 144083 |          169 |        5367.272 |              [1-163] |       3634.018 |
| 144084 |           15 |        3428.902 |          [1-1] [3-4] |        134.117 |
| 144085 |           14 |        3198.947 |                [1-1] |         44.848 |
| 144086 |          326 |       69465.365 |    [1-196] [198-242] |      61382.679 |
|        |              |                 |  [244-265] [267-298] |                |
| 144088 |           19 |        3793.531 |                [1-6] |        127.117 |
| 144089 |         1779 |      256982.921 |    [1-114] [117-161] |     251718.405 |
|        |              |                 | [163-172] [174-1605] |                |
|        |              |                 |          [1607-1750] |                |
| 144097 |          N/A |             N/A |                  N/A |            N/A |
| 144112 |         1765 |      305873.018 |    [1-236] [238-381] |     290458.974 |
|        |              |                 |  [383-437] [439-896] |                |
|        |              |                 |  [903-906] [915-926] |                |
|        |              |                 |           [929-1489] |                |
|        |              |                 |          [1491-1711] |                |
|        |              |                 |          [1713-1737] |                |
| 144114 |          282 |       14881.287 |              [1-267] |      14410.415 |

=== Total : 
| Delivered LS | Delivered (/μb) | Selected LS | Recorded(/μb) |
------------------------------------------------------------------
|        87912 |      3455288.942 |       61922 |    2662634.007 |

